pollutant,root,time_window,sensor_group,DIP_L1,KRG_L1,IDW_L1,DIP_MSE,KRG_MSE,IDW_MSE,target_mean_abs,target_max,target_std,target_p90_p10,gap_l1_dip_minus_krg,gap_mse_dip_minus_krg
METRAQ_NO2_LAST_HOUR_AUTOENCODER,output\experiments\basic\single_channel_supervision_NO2,2024-02-08 08:00:00,28079024-28079027-28079054-28079058,17.472171783447266,14.195398330688477,16.156661987304688,397.7939758300781,324.6776428222656,363.2886657714844,44.0,58.0,13.36038875579834,28.19999885559082,3.276773452758789,73.1163330078125
METRAQ_NO2_LAST_HOUR_AUTOENCODER,output\experiments\basic\single_channel_supervision_NO2,2024-02-08 19:00:00,28079024-28079027-28079054-28079058,7.0119829177856445,7.16266679763794,7.567503452301025,52.50992584228516,68.99624633789062,80.13706970214844,13.5,20.0,4.500000476837158,9.600000381469727,-0.1506838798522958,-16.48632049560546
METRAQ_NO2_LAST_HOUR_AUTOENCODER,output\experiments\basic\single_channel_supervision_NO2,2024-02-09 07:00:00,28079024-28079027-28079054-28079058,9.14626121520996,12.21069049835205,9.440857887268066,141.6087646484375,201.62893676757807,123.5374526977539,26.25,42.0,11.712706565856934,24.699996948242188,-3.0644292831420916,-60.02017211914057
METRAQ_NO2_LAST_HOUR_AUTOENCODER,output\experiments\basic\single_channel_supervision_NO2,2024-02-10 13:00:00,28079024-28079027-28079054-28079058,6.339519500732422,5.5735578536987305,5.471992492675781,55.33033752441406,40.15715789794922,41.19654846191406,4.75,7.0,2.4874684810638428,5.099999904632568,0.7659616470336914,15.173179626464844
METRAQ_NO2_LAST_HOUR_AUTOENCODER,output\experiments\basic\single_channel_supervision_NO2,2024-02-12 06:00:00,28079024-28079027-28079054-28079058,5.488127708435059,8.330440521240234,4.907705307006836,35.28952407836914,71.26277160644531,26.5914249420166,15.5,27.0,9.630680084228516,20.19999885559082,-2.842312812805176,-35.97324752807617
METRAQ_NO2_LAST_HOUR_AUTOENCODER,output\experiments\basic\single_channel_supervision_NO2,2024-02-12 07:00:00,28079024-28079027-28079054-28079058,10.38511085510254,11.50197410583496,10.42711067199707,124.19507598876952,144.3216094970703,117.64422607421876,22.0,39.0,12.942178726196289,27.399999618530273,-1.1168632507324183,-20.126533508300795
METRAQ_NO2_LAST_HOUR_AUTOENCODER,output\experiments\basic\single_channel_supervision_NO2,2024-02-12 11:00:00,28079024-28079027-28079054-28079058,8.079036712646484,8.111988067626953,7.432655334472656,73.89401245117188,76.91045379638672,64.3199234008789,14.5,29.0,9.069178581237793,17.799997329711914,-0.03295135498046875,-3.0164413452148438
METRAQ_NO2_LAST_HOUR_AUTOENCODER,output\experiments\basic\single_channel_supervision_NO2,2024-02-12 13:00:00,28079024-28079027-28079054-28079058,7.113924980163574,6.3976640701293945,6.677014350891113,60.57588577270508,50.15637969970703,54.119590759277344,6.5,10.0,2.872281312942505,5.59999942779541,0.7162609100341797,10.419506072998047
METRAQ_NO2_LAST_HOUR_AUTOENCODER,output\experiments\basic\single_channel_supervision_NO2,2024-02-13 14:00:00,28079024-28079027-28079054-28079058,17.75572967529297,19.804576873779297,16.431333541870117,455.0689392089844,411.6292114257813,295.9048767089844,25.75,61.0,20.944868087768555,39.699989318847656,-2.048847198486328,43.43972778320307
METRAQ_NO2_LAST_HOUR_AUTOENCODER,output\experiments\basic\single_channel_supervision_NO2,2024-02-14 13:00:00,28079024-28079027-28079054-28079058,4.8152055740356445,3.4109818935394287,3.8523802757263184,28.436641693115234,14.062432289123535,17.808353424072266,15.0,21.0,3.674234628677368,7.19999885559082,1.4042236804962158,14.3742094039917
METRAQ_NO2_LAST_HOUR_AUTOENCODER,output\experiments\basic\single_channel_supervision_NO2,2024-02-18 07:00:00,28079024-28079027-28079054-28079058,17.69659423828125,13.120166778564451,13.340998649597168,331.1965637207031,197.47186279296875,197.0396728515625,22.25,44.0,13.553135871887207,27.499996185302734,4.576427459716799,133.72470092773438
METRAQ_NO2_LAST_HOUR_AUTOENCODER,output\experiments\basic\single_channel_supervision_NO2,2024-02-18 08:00:00,28079024-28079027-28079054-28079058,13.21117115020752,14.138616561889648,13.135309219360352,194.9346466064453,210.37860107421875,178.62139892578125,25.5,47.0,15.7241849899292,33.19999694824219,-0.9274454116821289,-15.443954467773438
METRAQ_NO2_LAST_HOUR_AUTOENCODER,output\experiments\basic\single_channel_supervision_NO2,2024-02-18 16:00:00,28079024-28079027-28079054-28079058,13.13271713256836,13.760601043701172,12.900651931762695,176.87164306640625,195.8907165527344,172.30609130859375,20.5,41.0,12.09338665008545,22.599994659423828,-0.6278839111328125,-19.019073486328153
METRAQ_NO2_LAST_HOUR_AUTOENCODER,output\experiments\basic\single_channel_supervision_NO2,2024-02-20 17:00:00,28079024-28079027-28079054-28079058,10.853528022766112,11.029065132141112,10.153192520141602,169.0267333984375,175.85006713867188,158.1486053466797,20.75,36.0,11.409974098205566,24.5,-0.175537109375,-6.823333740234375
METRAQ_NO2_LAST_HOUR_AUTOENCODER,output\experiments\basic\single_channel_supervision_NO2,2024-02-24 07:00:00,28079024-28079027-28079054-28079058,6.699418067932129,7.143829345703125,7.782600879669189,58.205345153808594,69.43852233886719,75.28068542480469,9.75,23.0,8.196798324584961,16.499998092651367,-0.4444112777709961,-11.233177185058594
METRAQ_NO2_LAST_HOUR_AUTOENCODER,output\experiments\basic\single_channel_supervision_NO2,2024-02-24 18:00:00,28079024-28079027-28079054-28079058,8.303421020507812,8.920466423034668,9.021944999694824,84.67880249023438,94.41016387939452,113.10321044921876,6.25,9.0,2.586019992828369,4.899999618530273,-0.6170454025268555,-9.731361389160142
METRAQ_NO2_LAST_HOUR_AUTOENCODER,output\experiments\basic\single_channel_supervision_NO2,2024-02-28 19:00:00,28079024-28079027-28079054-28079058,16.670007705688477,13.432418823242188,15.81593132019043,356.2093811035156,234.27243041992188,333.0433044433594,19.25,33.0,10.009370803833008,21.5,3.237588882446289,121.93695068359375
METRAQ_NO2_LAST_HOUR_AUTOENCODER,output\experiments\basic\single_channel_supervision_NO2,2024-03-01 19:00:00,28079024-28079027-28079054-28079058,13.153255462646484,10.530054092407228,10.26812744140625,214.68035888671875,164.03854370117188,166.376953125,14.25,22.0,6.684871196746826,14.29999828338623,2.623201370239256,50.641815185546875
METRAQ_NO2_LAST_HOUR_AUTOENCODER,output\experiments\basic\single_channel_supervision_NO2,2024-03-02 06:00:00,28079024-28079027-28079054-28079058,3.34110951423645,3.3924639225006104,3.589195728302002,13.532686233520508,15.945807456970217,18.99205207824707,3.25,6.0,1.9202864170074463,4.09999942779541,-0.051354408264160156,-2.413121223449709
METRAQ_NO2_LAST_HOUR_AUTOENCODER,output\experiments\basic\single_channel_supervision_NO2,2024-03-03 18:00:00,28079024-28079027-28079054-28079058,6.453276634216309,6.710481643676758,6.916371822357178,71.25390625,63.16753005981445,68.195068359375,8.0,10.0,3.4641013145446777,5.59999942779541,-0.2572050094604492,8.086376190185547
METRAQ_NO2_LAST_HOUR_AUTOENCODER,output\experiments\basic\single_channel_supervision_NO2,2024-03-06 11:00:00,28079024-28079027-28079054-28079058,8.921226501464844,10.518998146057127,9.894556045532228,101.96782684326172,117.45370483398438,124.2537841796875,34.0,42.0,9.380831718444824,16.799999237060547,-1.5977716445922834,-15.485877990722656
METRAQ_NO2_LAST_HOUR_AUTOENCODER,output\experiments\basic\single_channel_supervision_NO2,2024-03-07 18:00:00,28079024-28079027-28079054-28079058,12.69325351715088,10.621809005737305,12.75324249267578,180.6379547119141,156.99041748046875,189.0284118652344,16.0,25.0,8.062257766723633,16.799999237060547,2.071444511413576,23.64753723144534
METRAQ_NO2_LAST_HOUR_AUTOENCODER,output\experiments\basic\single_channel_supervision_NO2,2024-03-08 19:00:00,28079024-28079027-28079054-28079058,12.505677223205566,10.362205505371094,11.143247604370115,158.11386108398438,116.66722869873048,127.37557983398438,15.0,27.0,7.582875728607178,15.39999771118164,2.1434717178344727,41.44663238525389
METRAQ_NO2_LAST_HOUR_AUTOENCODER,output\experiments\basic\single_channel_supervision_NO2,2024-03-13 14:00:00,28079024-28079027-28079054-28079058,4.194170475006104,1.4543917179107666,2.467897653579712,24.691112518310547,3.129221677780152,8.286040306091309,16.75,20.0,2.8613808155059814,6.100000381469727,2.739778757095338,21.561890840530396
METRAQ_NO2_LAST_HOUR_AUTOENCODER,output\experiments\basic\single_channel_supervision_NO2,2024-03-15 09:00:00,28079024-28079027-28079054-28079058,13.917709350585938,7.843571186065674,11.684236526489258,220.2322540283203,64.26124572753906,180.48297119140625,37.0,45.0,5.244044303894043,10.999998092651367,6.074138164520264,155.97100830078125
METRAQ_NO2_LAST_HOUR_AUTOENCODER,output\experiments\basic\single_channel_supervision_NO2,2024-03-15 16:00:00,28079024-28079027-28079054-28079058,11.438319206237791,11.337564468383787,11.57535457611084,154.0735321044922,177.6456756591797,177.7084197998047,17.25,38.0,12.987975120544434,26.499996185302734,0.1007547378540039,-23.5721435546875
METRAQ_NO2_LAST_HOUR_AUTOENCODER,output\experiments\basic\single_channel_supervision_NO2,2024-03-17 15:00:00,28079024-28079027-28079054-28079058,5.687829971313477,3.4419310092926025,4.898379325866699,35.94659805297852,15.841856002807615,29.05457305908203,8.75,11.0,2.2776083946228027,4.699999809265137,2.245898962020874,20.104742050170906
METRAQ_NO2_LAST_HOUR_AUTOENCODER,output\experiments\basic\single_channel_supervision_NO2,2024-03-17 16:00:00,28079024-28079027-28079054-28079058,5.886775970458984,3.9640605449676514,5.641074180603027,39.901634216308594,22.70144462585449,41.95924377441406,9.5,13.0,3.500000238418579,7.199999809265137,1.922715425491333,17.200189590454105
METRAQ_NO2_LAST_HOUR_AUTOENCODER,output\experiments\basic\single_channel_supervision_NO2,2024-03-20 11:00:00,28079024-28079027-28079054-28079058,10.140933990478516,8.67027759552002,10.115160942077637,168.92727661132812,111.8323974609375,182.6239471435547,30.0,41.0,10.024969100952148,20.39999771118164,1.470656394958496,57.094879150390625
METRAQ_NO2_LAST_HOUR_AUTOENCODER,output\experiments\basic\single_channel_supervision_NO2,2024-03-22 09:00:00,28079024-28079027-28079054-28079058,22.44403076171875,16.350093841552734,18.113609313964844,525.8094482421875,280.2395935058594,334.4469299316406,31.5,52.0,15.692355155944824,33.599998474121094,6.093936920166016,245.56985473632812
METRAQ_NO2_LAST_HOUR_AUTOENCODER,output\experiments\basic\single_channel_supervision_NO2,2024-03-23 12:00:00,28079024-28079027-28079054-28079058,5.313349723815918,3.417318105697632,4.6625261306762695,56.06593704223633,20.218650817871094,32.5980339050293,6.75,11.0,2.586019992828369,4.899999141693115,1.8960316181182861,35.847286224365234
